preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
110000;TRES VENDAS;Terreno Padrao;;Pelotas - Rs;;0;0;
270000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas - Rs;3;0;1;75
215000;CENTRO;Apartamento;Rua Santa Cruz;Pelotas - Rs;2;0;0;70
186000;TRES VENDAS;Casa de Condominio;Rua Santiago Dantas;Pelotas - Rs;2;0;1;60
65000;TRES VENDAS;Terreno Padrao;Rua Andrade Neves;Pelotas - Rs;;0;0;
165000;AREAL;Apartamento;Rua Thomas Antonio Gonzaga;Pelotas - Rs;3;0;1;72
385000;TRES VENDAS;Casa;;Pelotas - Rs;2;0;2;120
210000;CENTRO;Apartamento;Rua Barao de Azevedo Machado;Pelotas - Rs;3;0;0;67
128000;FRAGATA;Apartamento;Rua Goncalves Ledo;Pelotas - Rs;2;0;1;50
197000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas - Rs;1;1;0;49
530000;AREAL;Casa;Rua Francisco Moreira;Pelotas - Rs;3;1;2;100
275000;AREAL;Terreno Padrao;Avenida Sao Francisco de Paula;Pelotas - Rs;;0;0;
319000;FRAGATA;Casa;;Pelotas - Rs;2;0;2;120
350000;CENTRO;Casa;Rua Gal Teles;Pelotas - Rs;3;0;3;177
460000;CENTRO;Apartamento;Rua Anchieta;Pelotas - Rs;3;0;0;139
235000;Lindoia;Casa;;Pelotas - Rs;2;0;1;100
260000;LARANJAL;Casa;Rua Esteio;Pelotas - Rs;2;0;2;60
180000;AREAL;Casa;R Maria Belmira Peres Dias;Pelotas RS;1;0;1;49
690000;CENTRO;Casa;Rua Gal Osorio;Pelotas RS;5;0;1;247
250000;TRES VENDAS;Casa;Rua Eng Ildefonso Simoes Lopes;Pelotas RS;2;1;1;98
200000;FRAGATA;Casa;Rua Octavio Peixoto;Pelotas RS;2;0;1;80
265000;AREAL;Casa;;Pelotas RS;3;1;3;200
390000;LARANJAL;Casa;;Pelotas RS;3;1;2;136
30000;Santa Terezinha;Box/Garagem;Endereco Nao Informado;Pelotas RS;;0;1;12
130000;AREAL;Casa;Rua Dr Edgard Vinhas de Campos;Pelotas RS;1;0;1;53
850000;INDETERMINADO;Casa;Rua Laura de Souza Lang;Pelotas RS;3;1;2;242
190000;FRAGATA;Casa;Avenida Pinheiro Machado;Pelotas RS;2;0;2;68
580000;CENTRO;Apartamento;Rua Barao de Santa Tecla;Pelotas RS;3;2;1;204
280000;AREAL;Casa;Rua Mal Feliciano Mendes de Morais;Pelotas RS;3;1;2;70
90000;FRAGATA;Terreno Padrao;;Pelotas RS;;0;0;
120000;PORTO;Terreno Padrao;;Pelotas RS;;0;0;
230000;CENTRO;Apartamento;Sete de Setembro;Pelotas RS;2;0;0;75
320000;AREAL;Apartamento;;Pelotas RS;3;0;1;106
170000;CENTRO;Apartamento;;Pelotas RS;2;0;0;50
95000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;360
238000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;3;0;1;64
260000;LARANJAL;Casa;Rua Taquara;Pelotas RS;2;0;2;200
140000;FRAGATA;Apartamento;;Pelotas RS;2;0;1;44
630000;AREAL;Casa;;Pelotas RS;3;1;2;200
165000;CENTRO;Apartamento;;Pelotas RS;1;0;1;32
207000;CENTRO;Apartamento;Voluntarios da Patria;Pelotas RS;2;0;0;60
175000;LARANJAL;Terreno Padrao;Sao Gabriel;Pelotas RS;;0;0;
600000;Cascata;Sitio;Br 392 Km 79/80;Pelotas RS;4;0;0;20000
650000;CENTRO;Casa;Rua Barao de Santa Tecla;Pelotas RS;5;0;1;300
250000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;1;78
130000;PORTO;Apartamento;Rua Tres de Maio;Pelotas RS;2;0;1;41
180000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;40
180000;TRES VENDAS;Casa de Condominio;Rua Santiago Dantas;Pelotas RS;2;0;1;70
265000;AREAL;Terreno Padrao;Avenida Sao Francisco de Paula;Pelotas RS;;0;0;
266000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;77
245000;CENTRO;Apartamento;Coronel Alberto Rosa;Pelotas RS;2;0;0;75
200000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;68
100000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;1;0;0;35
290000;AREAL;Casa;Hipolito Jose da Costa;Pelotas RS;3;0;1;104
280000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;85
750000;CENTRO;Apartamento;XV de Novembro;Pelotas RS;4;1;2;240
380000;Zona Norte;Apartamento;;Pelotas RS;3;1;1;100
290000;CENTRO;Casa;Coronel Alberto Rosa;Pelotas RS;3;0;0;110
229000;TRES VENDAS;Apartamento;;Pelotas RS;3;0;1;80
385000;CENTRO;Apartamento;Rua 15 de Novembro;Pelotas RS;2;0;1;110
175000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;45
200000;CENTRO;Apartamento;;Pelotas RS;1;0;0;61
270000;PORTO;Terreno Padrao;Dona Mariana Eufrasia da Silveira;Pelotas RS;;0;0;400
470000;TRES VENDAS;Apartamento;Avenida Dom Joaquim;Pelotas RS;3;0;1;52
320000;FRAGATA;Casa;Rua Ismael Simoes Lopes;Pelotas RS;3;1;2;114
560000;Treptow;Casa de Condominio;Rua Dr Ferreira Soares;Pelotas RS;3;1;2;160
148000;TRES VENDAS;Casa de Condominio;Rua Santiago Dantas;Pelotas RS;2;0;1;50
319000;AREAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;525
385000;CENTRO;Apartamento;;Pelotas RS;3;1;1;124
266000;INDETERMINADO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;432
850000;CENTRO;Casa;Rua Mal Deodoro;Pelotas RS;5;1;1;230
