preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas - Rs;1;0;1;44
385000;TRES VENDAS;Casa de Condominio;Avenida 25 de Julho;Pelotas - Rs;3;1;2;85
600000;CENTRO;Conjunto Comercial/Sala;Rua 7 de Setembro;Pelotas - Rs;;0;0;100
228960;CENTRO;Apartamento;Rua Alm Barroso;Pelotas - Rs;1;0;0;42
250000;FRAGATA;Casa;Rua Dr Darcy Xavier;Pelotas - Rs;3;0;2;90
251750;CENTRO;Apartamento;Rua Alm Barroso;Pelotas - Rs;1;0;0;41
148000;TRES VENDAS;Casa de Condominio;Rua Santiago Dantas;Pelotas - Rs;2;0;1;50
180000;CENTRO;Apartamento;Lobo da Costa;Pelotas - Rs;1;0;0;63
160000;AREAL;Apartamento;;Pelotas - Rs;1;0;0;44
1160000;AREAL;Casa de Condominio;Avenida Sao Francisco de Paula;Pelotas - Rs;4;1;2;260
175000;AREAL;Casa;Doutor Armando Fagundes;Pelotas - Rs;2;0;0;90
505000;INDETERMINADO;Apartamento;Rua Emilio Jorge dos Reis;Pelotas - Rs;3;1;2;118
155000;Zona Norte;Apartamento;Antonio Gomes da Silva;Pelotas - Rs;1;0;0;33
170000;TRES VENDAS;Apartamento;Rua Eng Ildefonso Simoes Lopes;Pelotas - Rs;2;0;1;50
250000;Santa Terezinha;Casa;Sao Paulo;Pelotas - Rs;3;1;1;175
170000;CENTRO;Apartamento;Marcilio Dias;Pelotas - Rs;2;0;1;50
430000;CENTRO;Apartamento;Santa Cruz;Pelotas - Rs;2;0;1;78
89000;TRES VENDAS;Terreno Padrao;Rua Gal Hipolito Antonio Ribeiro;Pelotas - Rs;;0;0;
250000;LARANJAL;Casa;Avenida Arthur Augusto Assumpcao;Pelotas - Rs;1;0;2;135
220000;CENTRO;Apartamento;;Pelotas - Rs;2;0;1;55
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
165000;FRAGATA;Apartamento;Evaristo da Veiga;Pelotas RS;1;0;1;55
349000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;3;1;2;69
364910;TRES VENDAS;Casa de Condominio;R 1;Pelotas RS;2;0;1;112
262000;FRAGATA;Casa;Tv Profa Dulce Boeckel de Oliveira Motta;Pelotas RS;2;0;1;112
169000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;2;0;1;43
53575;TRES VENDAS;Box/Garagem;Avenida Dom Joaquim;Pelotas RS;;0;1;
435000;TRES VENDAS;Apartamento;;Pelotas RS;2;1;1;110
145000;TRES VENDAS;Casa de Condominio;Rua Santiago Dantas;Pelotas RS;2;0;1;44
200000;FRAGATA;Casa;Rua Octavio Peixoto;Pelotas RS;2;0;1;80
550000;CENTRO;Apartamento;Dom Joaquim Ferreira de Mello;Pelotas RS;3;0;1;120
149000;FRAGATA;Apartamento;Rua Domingues Guedes Cabral;Pelotas RS;1;1;0;42
148500;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;40
380000;Santa Terezinha;Casa;Doutor Francisco Ferreira Veloso;Pelotas RS;3;1;0;120
1650000;CENTRO;Predio Inteiro;Rua Andrade Neves;Pelotas RS;;0;0;464
80000;CENTRO;Conjunto Comercial/Sala;Rua Mal Floriano;Pelotas RS;;0;0;33
175000;TRES VENDAS;Apartamento;Rua Eng Ildefonso Simoes Lopes;Pelotas RS;2;0;1;48
89000;CENTRO;Terreno Padrao;;Pelotas RS;;0;0;
340000;LARANJAL;Casa;Triunfo;Pelotas RS;3;0;1;186
200000;TRES VENDAS;Casa;;Pelotas RS;3;1;3;109
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
195000;TRES VENDAS;Casa de Condominio;Rua Santiago Dantas;Pelotas RS;2;0;1;60
78000;AREAL;Terreno Padrao;Rua Com Rafael Mazza;Pelotas RS;;0;0;
296800;AREAL;Apartamento;R Elgar Carlos Hadler;Pelotas RS;3;1;2;84
180000;FRAGATA;Apartamento;Avenida Pinheiro Machado;Pelotas RS;2;0;2;63
249000;CENTRO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;420
250000;CENTRO;Apartamento;;Pelotas RS;3;0;1;100
140000;CENTRO;Apartamento;;Pelotas RS;2;0;0;47
130000;CENTRO;Casa;Rua Jose do Patrocinio;Pelotas RS;1;0;1;50
450000;CENTRO;Apartamento;Rua Barao de Santa Tecla;Pelotas RS;2;0;0;140
240000;CENTRO;Casa;Barao da Conceicao;Pelotas RS;3;0;0;
1060000;CENTRO;Apartamento;Santa Cruz;Pelotas RS;4;2;2;540
280000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;179
155000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;0;38
140000;RECANTO DE PORTUGAL;Terreno Padrao;;Pelotas RS;;0;0;
230000;FRAGATA;Casa;Rua Desem Andre da Rocha;Pelotas RS;2;0;1;79
195000;CENTRO;Apartamento;Rua Dr Urbano Garcia;Pelotas RS;2;0;1;68
143000;AREAL;Apartamento;;Pelotas RS;2;0;1;50
200000;PORTO;Quitinete;Uruguay;Pelotas RS;;0;0;48
280000;CENTRO;Apartamento;;Pelotas RS;2;0;0;106
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
1380000;CENTRO;Predio Inteiro;Rua Mal Deodoro;Pelotas RS;5;3;0;
130000;AREAL;Casa;Rua Dr Edgard Vinhas de Campos;Pelotas RS;1;0;1;53
125000;TRES VENDAS;Casa;Passeio 2;Pelotas RS;2;0;1;75
197000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;0;0;49
220000;TRES VENDAS;Casa;Rua Dr Ramiz Galvao;Pelotas RS;4;0;2;150
125000;AREAL;Apartamento;;Pelotas RS;2;0;1;44
700000;LARANJAL;Casa;Canoas;Pelotas RS;4;2;3;256
280000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;62
310000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;90
400000;CENTRO;Apartamento;Senador Mendonca;Pelotas RS;2;1;1;100
190000;CENTRO;Apartamento;;Pelotas RS;1;0;0;52
750000;CENTRO;Apartamento;Marechal Deodoro;Pelotas RS;3;0;0;170
430000;CENTRO;Casa;Rua Major Cicero de Goes Monteiro;Pelotas RS;3;0;1;108
181000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;58
175000;FRAGATA;Apartamento;Frontino Vieira;Pelotas RS;2;0;1;50
170000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;65
180000;TRES VENDAS;Casa;R Armando Voigt;Pelotas RS;2;0;0;47
440000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;157
400000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;4;1;4;100
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
530000;TRES VENDAS;Casa;Avenida Francisco Caruccio;Pelotas RS;2;2;5;170
289463;LARANJAL;Casa de Condominio;;Pelotas RS;2;0;1;64
